uvkey,aqi
"(35652028, 35652026, 0)",1.88
"(35652028, 1411936784, 0)",1.893
"(35652028, 35653021, 0)",1.867
"(33980875, 34400037, 0)",2.112
"(33980875, 1900962617, 0)",2.125
"(33980877, 2104003525, 0)",2.138
"(33980877, 1900962662, 0)",1.918
"(33980877, 1900962617, 0)",2.151
"(33980877, 34400038, 0)",2.138
"(33980878, 299519173, 0)",1.944
"(33980878, 34399375, 0)",2.087
"(33980878, 33980879, 0)",2.048
"(33980878, 2104003525, 0)",1.944
"(33980879, 33980878, 0)",2.048
"(666960338, 666961019, 0)",1.931
"(666960338, 417210841, 0)",1.867
"(666960338, 666960345, 0)",1.905
"(1305543123, 287425099, 0)",2.074
"(1305543123, 3001211666, 0)",2.074
"(1305543123, 3105253838, 0)",2.216
"(2537914836, 2537914844, 0)",1.867
"(666960342, 729681812, 0)",1.891
"(95650264, 288642462, 0)",1.88
"(95650264, 670401410, 0)",1.88
"(666960345, 666960338, 0)",1.905
"(666960345, 729681812, 0)",1.905
"(666960345, 666961020, 0)",1.931
"(666960345, 729681807, 0)",1.905
"(2537914844, 2537914836, 0)",1.867
"(2537914844, 479423693, 0)",1.854
"(2537914844, 479423699, 0)",1.854
"(745996768, 745996133, 0)",1.88
"(745996768, 536675764, 0)",1.88
"(745996768, 745996771, 0)",1.88
"(745996768, 745996774, 0)",1.893
"(745996771, 745996768, 0)",1.88
"(745996771, 745996132, 0)",1.88
"(745996771, 745996133, 0)",1.88
"(2537914852, 2537914858, 0)",1.854
"(745996774, 745996768, 0)",1.893
"(745996774, 745997836, 0)",1.918
"(745996774, 1497747202, 0)",1.905
"(265585129, 316342370, 0)",1.905
"(265585129, 35651741, 0)",1.931
"(265585129, 745522831, 0)",1.918
"(2537914858, 2537914852, 0)",1.854
"(2537914858, 479423699, 0)",1.854
"(2537914858, 581932604, 0)",1.854
"(2537914860, 466975033, 0)",1.841
"(2537914860, 2537914871, 0)",1.854
"(2537914860, 581932604, 0)",1.854
"(3597206001, 3597205587, 0)",1.828
"(3597206001, 2562704086, 0)",1.841
"(3597206001, 762021348, 0)",1.841
"(2537914867, 479803067, 0)",1.854
"(2537914867, 2537914869, 0)",1.854
"(2537914867, 466975033, 0)",1.854
