id_ig,aqi
1216,1.96
1217,1.88
1218,1.89
1219,1.99
1220,1.87
1221,1.87
1222,1.88
1223,1.87
1224,1.87
1225,1.88
1226,1.9
1227,1.0
1228,1.89
1229,1.85
1230,1.86
1231,1.86
1232,1.86
1233,1.87
1234,1.88
1235,1.87
1236,1.86
1237,1.0
1238,1.87
1239,1.85
1240,1.0
1241,1.85
1242,1.86
1243,1.86
1244,1.86
1245,1.9
1246,1.86
1247,1.86
1248,1.9
1249,1.0
1250,1.86
1251,1.93
1252,1.87
1253,1.93
1254,1.86
1255,1.87
1256,1.87
1257,1.98
1258,1.98
1259,1.91
1260,1.9
1261,1.87
1262,1.9
1263,1.95
1264,1.88
1265,1.88
1266,1.88
1267,1.88
1268,1.88
1269,1.92
1270,1.87
1271,1.86
1272,1.86
1273,1.86
1274,1.86
1275,1.89
1276,1.89
1277,1.9
1278,1.9
1279,1.0
1280,1.0
1281,1.89
1282,1.86
1283,1.84
1284,1.84
1285,1.84
1286,1.84
1287,1.0
1288,1.89
1289,1.87
1290,1.87
1291,1.88
1292,1.88
