;id_otp;name_otp;node_orig_id;node_dest_id;length;edge_class;street_class;is_stairs;is_no_thru_traffic;permission;allows_walking;allows_biking;traversable_walking;traversable_biking;bike_safety_factor;geometry
1137169;1745436;P+R (exit);518540;452526;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1137176;94537;Hämeentie;57724;57723;5.555;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9631634 60.20208090000001, 24.9631189 60.2021257)
1137188;94536;Hämeentie;57723;57724;5.555;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9631189 60.2021257, 24.9631634 60.20208090000001)
1137213;1748132;;520131;403134;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1137253;1748128;;520129;403132;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1137254;422853;Hämeentie;57723;57871;26.061;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9631189 60.2021257, 24.963247 60.202156, 24.96338 60.202186, 24.963451 60.202212, 24.963526 60.20224140000001)
1137292;579500;path;193653;38477;60.56;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9717573 60.2029976, 24.971653 60.202948, 24.9723098 60.2026059)
1137374;625176;path;193654;38478;52.355;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9719576 60.20309090000001, 24.9726137 60.2027512)
1137405;363335;Käpyläntie;188462;199628;27.324;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;2.5;LINESTRING (24.9585019 60.2143518, 24.9584544 60.2141072)
1137438;614503;path;54375;161970;56.076;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9652472 60.1976457, 24.965281 60.197518, 24.9653364 60.1971435)
1137461;452618;Väinölänkuja;188460;199632;10.306;StreetEdge;3.0;False;False;ALL;True;True;True;True;1.6333333;LINESTRING (24.9585628 60.21467990000001, 24.9587488 60.21467250000001)
1137629;1746714;;519561;421563;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1138055;217867;path;126636;20109;10.427;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.9666665;LINESTRING (24.9844907 60.21841310000001, 24.9846588 60.2184558)
1138087;709184;bike path;52567;219140;103.93299999999999;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9604518 60.21848050000001, 24.9597987 60.2176039)
1138271;885457;path;392787;158289;6.459;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9541403 60.2119203, 24.954214 60.2118752)
1138301;1748532;;520289;400388;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1138365;1748032;;520091;406417;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1138397;1748028;;520089;406408;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
