;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
350987;329421;osm:node:764567972;OsmVertex;True;True;osm:node:764567972;False;False;24.964271399999998;60.2061488;POINT (24.9642714 60.2061488)
351003;61385;osm:node:764567968;OsmVertex;True;True;osm:node:764567968;False;False;24.964703399999998;60.20488829999999;POINT (24.9647034 60.2048883)
351005;47416;osm:node:742683159;OsmVertex;True;True;osm:node:742683159;False;False;24.9778815;60.207049700000006;POINT (24.977881500000002 60.207049700000006)
351006;329413;osm:node:764567966;OsmVertex;True;True;osm:node:764567966;False;False;24.964258500000003;60.205369299999994;POINT (24.964258500000003 60.2053693)
351007;448416;osm:node:764567969;OsmVertex;True;True;osm:node:764567969;False;False;24.964215000000006;60.20619290000001;POINT (24.964215000000003 60.206192900000005)
351008;367471;osm:node:742683151;OsmVertex;True;True;osm:node:742683151;False;False;24.9791628;60.2057113;POINT (24.9791628 60.205711300000004)
351238;240651;osm:node:773521278;OsmVertex;True;True;osm:node:773521278;False;False;24.957718600000003;60.21584830000001;POINT (24.957718600000003 60.215848300000005)
351241;199622;osm:node:773521277;OsmVertex;True;True;osm:node:773521277;False;False;24.9568687;60.2160956;POINT (24.9568687 60.2160956)
351242;240620;osm:node:773521275;OsmVertex;True;True;osm:node:773521275;False;False;24.9550336;60.216561899999995;POINT (24.9550336 60.2165619)
351244;240648;osm:node:773521279;OsmVertex;True;True;osm:node:773521279;False;False;24.9572947;60.2159765;POINT (24.957294700000002 60.215976500000004)
351246;310481;osm:node:708445921;OsmVertex;True;True;osm:node:708445921;False;False;24.9836638;60.2162615;POINT (24.983663800000002 60.2162615)
351248;147611;osm:node:708445923;OsmVertex;True;True;osm:node:708445923;False;False;24.984514899999997;60.21577480000001;POINT (24.9845149 60.215774800000005)
351405;520189;-1;ElevatorOffboardVertex;True;True;osm:node:3607855278:level:-1_offboard;False;;24.605887300000006;60.19146020000001;POINT (24.605887300000003 60.1914602)
351413;342074;osm:node:6247054843;OsmVertex;True;True;osm:node:6247054843;False;False;25.0315902;60.169365799999994;POINT (25.0315902 60.1693658)
351415;342087;osm:node:6247054842;OsmVertex;True;True;osm:node:6247054842;False;False;25.032192400000003;60.16955170000001;POINT (25.032192400000003 60.16955170000001)
351427;342073;osm:node:6247054846;OsmVertex;True;True;osm:node:6247054846;False;False;25.031549100000003;60.1693775;POINT (25.031549100000003 60.1693775)
351460;476992;osm:node:731196749;OsmVertex;True;True;osm:node:731196749;False;False;24.979373;60.20839840000001;POINT (24.979373000000002 60.20839840000001)
351461;476991;osm:node:731196744;OsmVertex;True;True;osm:node:731196744;False;False;24.979508000000006;60.208557000000006;POINT (24.979508000000003 60.208557000000006)
351671;332380;osm:node:176207550;OsmVertex;True;True;osm:node:176207550;False;False;24.9683682;60.2159309;POINT (24.9683682 60.215930900000004)
351678;249635;osm:node:1702523331;OsmVertex;True;True;osm:node:1702523331;False;False;24.958872699999997;60.155351399999994;POINT (24.9588727 60.1553514)
351702;60894;osm:node:1702523337;OsmVertex;True;True;osm:node:1702523337;False;False;24.9591124;60.15545570000001;POINT (24.959112400000002 60.155455700000005)
351819;60890;osm:node:1702523322;OsmVertex;True;True;osm:node:1702523322;False;False;24.959464500000006;60.15532950000001;POINT (24.959464500000003 60.1553295)
351843;519341;-1;ElevatorOffboardVertex;True;True;osm:node:3522511350:level:-1_offboard;False;;24.892526899999996;60.2188;POINT (24.8925269 60.2188)
351844;249637;osm:node:1702523292;OsmVertex;True;True;osm:node:1702523292;False;False;24.9589518;60.1551389;POINT (24.9589518 60.155138900000004)
351913;329921;osm:node:34176003;OsmVertex;True;True;osm:node:34176003;False;False;24.976091;60.2149111;POINT (24.976091 60.2149111)
351914;329922;osm:node:34176007;OsmVertex;True;True;osm:node:34176007;False;False;24.975144600000004;60.21571950000001;POINT (24.9751446 60.215719500000006)
351917;329918;osm:node:34176004;OsmVertex;True;True;osm:node:34176004;False;False;24.9759449;60.2152175;POINT (24.975944900000002 60.2152175)
351921;249278;osm:node:34176011;OsmVertex;True;True;osm:node:34176011;False;False;24.974372199999998;60.2148777;POINT (24.9743722 60.2148777)
352002;368127;osm:node:34176056;OsmVertex;True;True;osm:node:34176056;False;False;24.975940899999998;60.216529099999995;POINT (24.9759409 60.2165291)
352014;368348;osm:node:34176053;OsmVertex;True;True;osm:node:34176053;False;False;24.9752753;60.2160671;POINT (24.9752753 60.216067100000004)
352042;172260;osm:node:1397168467;OsmVertex;True;True;osm:node:1397168467;False;False;24.9692033;60.198275;POINT (24.9692033 60.198275)
352063;314542;osm:node:4575743330:level:-1;OsmVertex;True;True;osm:node:4575743330:level:-1;False;False;25.036248;60.27484730000001;POINT (25.036248 60.274847300000005)
