edge_id;length;gvi;aqi;noises;mdB
207;1.7284;0.19;1.9;{65: 1.72843};67.5
208;21.108;0.2;1.91;{65: 21.10802};67.5
209;45.9608;0.16;1.88;{65: 45.96082};67.5
210;45.9608;0.16;1.88;{65: 45.96082};67.5
211;39.7265;0.16;1.9;{65: 39.72648};67.5
212;65.1633;0.18;1.9;{65: 65.16333};67.5
213;39.7265;0.16;1.9;{65: 39.72648};67.5
214;25.4426;0.2;1.91;{65: 25.44264};67.5
215;65.1633;0.18;1.9;{65: 65.16333};67.5
216;25.4426;0.2;1.91;{65: 25.44264};67.5
217;50.4259;0.23;1.9;{65: 50.42587};67.5
218;50.4259;0.23;1.9;{65: 50.42587};67.5
219;94.6136;0.26;1.93;{65: 94.61364};67.5
220;94.6136;0.26;1.93;{65: 94.61364};67.5
221;22.3555;0.19;1.88;{65: 22.35547};67.5
222;22.3555;0.19;1.88;{65: 22.35547};67.5
223;8.4719;0.18;1.89;{65: 8.47194};67.5
224;8.4719;0.18;1.89;{65: 8.47194};67.5
225;7.5414;0.32;1.9;{70: 7.54136};72.5
226;15.4157;0.24;1.95;{70: 15.41575};72.5
227;6.8449;0.2;1.93;{70: 3.42247, 65: 3.42247};70.0
228;7.3859;0.32;1.9;{65: 7.38594};67.5
229;5.9954;0.32;1.9;{70: 2.99772, 65: 2.99772};70.0
230;78.9958;0.32;1.88;{40: 48.61, 45: 30.38298};44.4
231;90.4876;0.36;1.94;{70: 90.48762};72.5
232;72.6823;0.16;1.89;{65: 72.68232};67.5
233;6.9795;0.15;1.89;{60: 3.48977, 65: 3.48977};65.0
234;77.9713;0.3;1.88;{50: 74.97245, 55: 2.9989};52.7
235;7.4574;0.34;1.87;{45: 7.45745};47.5
236;7.6351;0.34;1.88;{45: 7.63505};47.5
237;3.5022;0.4;1.86;{50: 3.50223};52.5
238;3.7811;0.19;1.88;{45: 3.78115};47.5
239;3.3678;0.17;1.88;{45: 3.36776};47.5
240;6.9934;0.36;1.95;{70: 6.99341};72.5
241;21.6452;0.16;1.86;{40: 12.37, 45: 9.27653};44.6
242;66.5496;0.37;1.98;{70: 66.54964};72.5
243;74.0677;0.53;1.86;{45: 74.06765};47.5
244;70.5962;0.38;1.88;{60: 70.59615};62.5
245;70.5962;0.38;1.88;{60: 70.59615};62.5
246;10.4503;0.24;1.87;{50: 10.45032};52.5
247;78.8383;0.25;1.94;{65: 78.83833};67.5
248;43.6508;0.26;1.88;{60: 32.01061, 55: 11.64022};61.2
249;120.0174;0.36;1.89;{70: 120.01739};72.5
250;7.511;0.19;1.88;{65: 7.511};67.5
251;38.7567;0.39;1.9;{55: 26.83153, 57: 11.92512};58.1
252;8.6362;0.29;1.87;{60: 5.75748, 57: 2.87874};61.5
253;16.6642;0.19;2.02;{70: 16.66418};72.5
254;9.1771;0.08;1.87;{50: 9.1771};52.5
255;42.1839;0.45;1.87;{55: 33.14452, 60: 9.03942};58.6
256;27.9523;0.2;1.89;{65: 27.95233};67.5
257;71.9798;0.18;1.0;{60: 38.98906, 65: 32.99074};64.8
258;56.2059;0.5;1.84;{55: 56.20589};57.5
259;22.6714;0.09;1.88;{60: 14.16964, 65: 8.50179};64.4
260;5.6707;0.17;1.93;{70: 5.67072};72.5
261;68.0737;0.21;2.01;{70: 68.0737};72.5
262;7.5269;0.31;1.9;{65: 7.52686};67.5
263;30.8628;0.44;1.85;{50: 15.43139, 45: 15.43139};50.0
264;4.8659;0.08;1.87;{55: 4.86592};57.5
265;1.3045;0.23;1.9;{65: 1.30453};67.5
266;4.8659;0.08;1.87;{55: 4.86592};57.5
267;13.1971;0.18;1.96;{70: 6.59857, 75: 6.59857};75.0
268;14.377;0.18;1.97;{75: 8.62618, 70: 5.75079};75.5
269;31.453;0.42;1.86;{60: 31.45303};62.5
270;7.3646;0.25;2.05;{75: 7.36462};77.5
271;27.5078;0.25;1.84;{50: 24.45134, 55: 3.05642};53.1
272;22.2635;0.39;1.89;{55: 9.54151, 50: 6.36101, 52: 3.1805, 57: 3.1805};55.9
273;12.734;0.45;1.85;{55: 12.73403};57.5
274;17.9785;0.12;1.85;{40: 14.98, 45: 2.99642};43.3
275;12.3268;0.16;1.92;{70: 12.32684};72.5
276;21.7668;0.22;1.9;{60: 15.54774, 65: 6.2191};63.9
277;32.039;0.21;1.97;{75: 32.03903};77.5
278;12.3753;0.18;1.89;{60: 12.37532};62.5
279;37.5067;0.38;1.86;{50: 37.5067};52.5
280;42.4155;0.37;1.87;{50: 42.41555};52.5
281;62.8808;0.12;1.87;{50: 32.93754, 55: 29.94322};54.9
282;70.9379;0.24;1.0;{65: 56.15914, 60: 14.77872};66.5
283;70.9379;0.24;1.0;{65: 56.15914, 60: 14.77872};66.5
284;4.4707;0.3;1.89;{70: 4.47072};72.5
285;4.4707;0.3;1.89;{70: 4.47072};72.5
286;62.0369;0.31;1.89;{60: 35.44966, 65: 26.58724};64.6
287;62.0369;0.31;1.89;{60: 35.44966, 65: 26.58724};64.6
288;35.5679;0.17;1.93;{65: 14.81997, 70: 11.85598, 60: 5.92799, 75: 2.96399};69.2
289;18.5698;0.28;1.95;{70: 15.47482, 75: 3.09496};73.3
290;20.5944;0.17;2.08;{75: 20.59444};77.5
291;5.9431;0.07;1.87;{60: 5.94309};62.5
292;3.8552;0.33;1.89;{50: 3.8552};52.5
293;3.8552;0.33;1.89;{50: 3.8552};52.5
294;3.991;0.3;1.86;{45: 3.99098};47.5
295;47.152;0.13;1.88;{60: 47.15203};62.5
296;48.1415;0.13;1.89;{60: 48.14154};62.5
297;26.0707;0.5;1.86;{45: 26.07066};47.5
298;47.5113;0.13;1.89;{60: 47.51128};62.5
299;3.0875;0.24;1.87;{45: 3.08749};47.5
300;18.4811;0.2;1.87;{45: 18.48115};47.5
301;108.9896;0.39;1.9;{70: 108.98965};72.5
302;108.9896;0.39;1.9;{70: 108.98965};72.5
303;10.0;0.12;1.87;{50: 9.99996};52.5
304;20.3765;0.36;1.9;{70: 20.37646};72.5
305;20.3765;0.36;1.9;{70: 20.37646};72.5
306;172.5923;0.35;1.91;{70: 172.59225};72.5
307;172.5923;0.35;1.91;{70: 172.59225};72.5
308;8.0861;0.17;1.91;{65: 5.39075, 70: 2.69538};69.2
309;8.0861;0.17;1.91;{65: 5.39075, 70: 2.69538};69.2
310;4.3596;0.18;1.91;{65: 4.35962};67.5
311;4.3596;0.18;1.91;{65: 4.35962};67.5
312;38.4701;0.16;1.92;{65: 38.47015};67.5
313;70.1706;0.16;1.89;{65: 70.17061};67.5
314;38.4701;0.16;1.92;{65: 38.47015};67.5
315;6.7179;0.38;1.93;{65: 3.35893, 70: 3.35893};70.0
316;6.7179;0.38;1.93;{70: 3.35893, 65: 3.35893};70.0
317;32.0383;0.47;1.85;{50: 32.03834};52.5
318;14.1338;0.53;1.85;{50: 14.13381};52.5
319;70.1706;0.16;1.89;{65: 70.17061};67.5
320;8.7299;0.15;1.9;{70: 5.81994, 65: 2.90997};70.8
321;8.7299;0.15;1.9;{70: 5.81994, 65: 2.90997};70.8
322;12.4222;0.65;1.85;{50: 12.42218};52.5
323;54.596;0.53;1.85;{50: 54.59603};52.5
324;4.0212;0.15;1.0;{50: 4.02117};52.5
325;4.0212;0.15;1.0;{50: 4.02117};52.5
326;12.3539;0.17;1.0;{45: 6.17696, 50: 6.17696};50.0
327;12.3539;0.17;1.0;{50: 6.17696, 45: 6.17696};50.0
328;2.4441;0.18;1.86;{45: 2.44415};47.5
329;2.4441;0.18;1.86;{45: 2.44415};47.5
330;7.0618;0.22;1.92;{65: 7.06175};67.5
331;33.241;0.75;1.86;{55: 21.15339, 50: 12.08765};55.7
332;38.4353;0.74;1.87;{55: 38.43528};57.5
333;1.845;0.73;1.86;{50: 1.84503};52.5
334;4.2567;0.69;1.88;{55: 4.25674};57.5
335;48.6245;0.09;1.87;{60: 48.62447};62.5
336;11.3704;0.07;1.86;{45: 5.68518, 50: 5.68518};50.0
337;5.4425;0.04;1.0;{45: 2.72123, 50: 2.72123};50.0
338;1.1253;0.69;1.85;{55: 1.12531};57.5
339;53.1239;0.45;1.85;{55: 53.12393};57.5
340;10.2002;0.24;2.0;{75: 6.80015, 70: 3.40008};75.8
341;28.4521;0.08;1.86;{50: 28.45213};52.5
342;35.5693;0.28;1.87;{50: 29.64107, 55: 5.92821};53.3
343;25.5795;0.37;1.86;{50: 17.053, 55: 5.68433, 45: 2.84217};53.1
344;86.6288;0.27;1.85;{50: 86.62885};52.5
345;2.3826;0.4;1.88;{55: 2.38256};57.5
346;2.3826;0.4;1.88;{55: 2.38256};57.5
347;7.4468;0.25;1.87;{55: 7.44682};57.5
348;71.608;0.17;1.87;{55: 71.608};57.5
349;5.44;0.25;1.88;{55: 5.44001};57.5
350;5.44;0.25;1.88;{55: 5.44001};57.5
351;31.3096;0.22;1.96;{70: 31.30956};72.5
352;72.9341;0.18;2.09;{70: 39.50596, 65: 33.42812};70.2
353;72.9341;0.18;2.09;{70: 39.50596, 65: 33.42812};70.2
354;5.1816;0.41;1.87;{55: 5.18162};57.5
355;3.853;0.24;1.87;{55: 3.85297};57.5
356;3.853;0.24;1.87;{55: 3.85297};57.5
357;7.4468;0.25;1.87;{55: 7.44682};57.5
358;6.0273;0.11;1.89;{60: 6.02729};62.5
359;5.1816;0.41;1.87;{55: 5.18162};57.5
360;10.2437;0.35;1.87;{50: 10.2437};52.5
361;10.2437;0.35;1.87;{50: 10.2437};52.5
362;3.9695;0.24;1.87;{55: 3.96947};57.5
363;25.7717;0.24;1.87;{55: 25.77168};57.5
364;45.0375;0.24;1.87;{55: 45.03752};57.5
365;16.2312;0.24;1.88;{55: 9.73871, 50: 6.49247};55.5
366;27.947;0.29;1.99;{70: 9.31567, 65: 9.31567, 60: 6.21044, 75: 3.10522};69.2
367;75.1453;0.24;1.9;{60: 39.07557, 55: 24.0465, 57: 12.02325};60.4
368;5.6251;0.39;1.87;{55: 5.62508};57.5
369;4.3928;0.2;1.95;{65: 4.39284};67.5
370;2.7609;0.37;1.89;{65: 2.76089};67.5
371;17.635;0.37;1.89;{55: 11.75665, 60: 5.87832};59.2
372;115.3881;0.25;1.99;{65: 100.20548, 70: 15.18265};68.2
373;16.972;0.18;1.86;{55: 16.97201};57.5
374;8.5403;0.71;1.85;{45: 8.54029};47.5
375;15.6754;0.79;1.85;{45: 15.67543};47.5
376;27.6493;0.15;1.85;{50: 27.64932};52.5
377;38.5687;0.14;1.85;{50: 26.70139, 45: 8.90046, 55: 2.96682};51.7
378;33.6336;0.16;1.86;{50: 27.51839, 45: 3.0576, 55: 3.0576};52.5
379;8.0367;0.16;1.95;{70: 8.03665};72.5
380;8.5459;0.26;1.87;{45: 8.54593};47.5
381;37.5924;0.05;1.88;{50: 31.80895, 55: 5.78344};53.3
382;3.2579;0.24;1.0;{55: 3.25788};57.5
383;37.5924;0.05;1.88;{50: 31.80895, 55: 5.78344};53.3
384;16.8683;0.24;1.88;{50: 16.86834};52.5
385;16.8683;0.24;1.88;{50: 16.86834};52.5
386;5.8304;0.16;1.87;{55: 5.83041};57.5
387;5.8304;0.16;1.87;{55: 5.83041};57.5
388;2.9637;0.2;1.89;{65: 2.96365};67.5
389;9.3186;0.31;1.9;{70: 9.31863};72.5
390;9.3186;0.31;1.9;{70: 9.31863};72.5
391;8.3157;0.32;1.9;{70: 8.31567};72.5
392;8.3157;0.32;1.9;{70: 8.31567};72.5
393;16.3623;0.07;1.0;{50: 16.36231};52.5
394;27.139;0.3;1.9;{65: 24.12353, 70: 3.01544};68.1
395;16.3623;0.07;1.0;{50: 16.36231};52.5
396;27.139;0.3;1.9;{65: 24.12353, 70: 3.01544};68.1
397;12.5174;0.31;1.89;{65: 12.51744};67.5
398;18.5328;0.33;1.89;{65: 18.53283};67.5
399;12.5174;0.31;1.89;{65: 12.51744};67.5
400;2.9637;0.2;1.89;{65: 2.96365};67.5
401;3.6673;0.19;1.89;{60: 3.66734};62.5
402;3.6673;0.19;1.89;{60: 3.66734};62.5
403;8.308;0.19;1.89;{65: 8.30797};67.5
404;8.308;0.19;1.89;{65: 8.30797};67.5
405;18.5328;0.33;1.89;{65: 18.53283};67.5
406;20.4661;0.23;1.89;{65: 20.46612};67.5
407;20.4661;0.23;1.89;{65: 20.46612};67.5
408;14.4762;0.21;1.9;{65: 14.47625};67.5
409;14.4762;0.21;1.9;{65: 14.47625};67.5
410;14.9063;0.34;1.89;{65: 14.90628};67.5
411;14.9063;0.34;1.89;{65: 14.90628};67.5
412;3.2579;0.24;1.0;{55: 3.25788};57.5
413;20.2361;0.0;1.0;{40: 20.24};42.5
414;13.7052;0.2;1.0;{40: 5.48, 45: 8.22311};45.5
